No.	Accession	Region	Country	Province PRC	Longitude	Latitude	Biological status	Group in phylogenetic tree	Data Source
618	VI004351	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
619	VI004423	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
620	VI004432	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
621	VI004480	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
622	VI004639	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
623	VI004666	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
624	VI004691	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
625	VI004694	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
626	VI004710	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
627	VI004734	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Sokolkova et al
628	VI004743	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
629	VI004789	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
630	VI004810	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
631	VI004811	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
632	VI004822	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
633	VI004838	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
634	VI004842	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
635	VI004853	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
636	VI004871	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
637	VI004877	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
638	VI004915	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
639	VI004931	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
640	VI004933	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
641	VI004934	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
642	VI004937	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
643	VI004942	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
644	VI004954	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
645	VI004956	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
646	VI004957	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
647	VI004958	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
648	VI004965	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
649	VI004968	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
650	VI004969	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Sokolkova et al
651	VI004973	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
652	VI005022	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
653	VI005024	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	--	Sokolkova et al
654	VI005030	America	Mexico	--	-102.55 	23.63 	Pre-breeding line	--	Sokolkova et al
655	VI005041	Unknown	Unknown	--	Unknown	Unknown	Pre-breeding line	--	Sokolkova et al
656	VI005066	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Sokolkova et al
657	VI014178	Africa	Kenya	--	37.91 	-0.02 	Pre-breeding line	--	Sokolkova et al
658	PI145943	America	USA	--	-95.71 	37.09 	Pre-breeding line	--	Wu et al
659	PI163110	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
660	PI164301	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
661	PI164726	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
662	PI164745	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
663	PI171435	East Asia	China	--	104.20 	35.86 	Pre-breeding line	--	Wu et al
664	PI174887	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
665	PI179954	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
666	PI183063	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
667	PI183407	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
668	PI183937	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
669	PI205137	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
670	PI213012	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
671	PI217955	Unknown	Unknown	--	Unknown	Unknown	Pre-breeding line	--	Wu et al
672	PI237669	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
673	PI269524	South Asia	Pakistan	--	69.35 	30.38 	Pre-breeding line	--	Wu et al
674	PI271407	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
675	PI291365	East Asia	China	--	104.20 	35.86 	Pre-breeding line	--	Wu et al
676	PI313206	America	Mexico	--	-102.55 	23.63 	Pre-breeding line	--	Wu et al
677	PI363354	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
678	PI363389	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
679	PI363444	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
680	PI363445	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
681	PI363469	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
682	PI363753	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
683	PI363783	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
684	PI364230	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
685	PI368324	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
686	PI371816	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Wu et al
687	PI376925	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
688	PI377207	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
689	PI377208	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
690	PI377300	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
691	PI377337	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
692	PI378039	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
693	PI381144	Southeast Asia	Thailand	--	100.99 	15.87 	Pre-breeding line	--	Wu et al
694	PI383318	America	Argentina	--	-63.62 	-38.42 	Pre-breeding line	--	Wu et al
695	PI425228	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
696	PI425239	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
697	PI425257	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
698	PI425267	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
699	PI425283	West Asia	Turkey	--	35.24 	38.96 	Pre-breeding line	--	Wu et al
700	PI425330	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
701	PI425378	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
702	PI425425	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
703	PI425484	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
704	PI425491	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
705	PI425557	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
706	PI425565	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
707	PI425570	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
708	PI425578	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
709	PI425583	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
710	PI425592	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
711	PI425797	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
712	PI425813	East Asia	SouthKorea	--	127.77 	35.91 	Pre-breeding line	--	Wu et al
713	PI425821	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
714	PI425825	Southeast Asia	Philippines	--	121.77 	12.88 	Pre-breeding line	--	Wu et al
715	PI425917	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
716	PI425934	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
717	PI425943	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
718	PI426065	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
719	PI426136	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
720	PI426147	South Asia	India	--	78.96 	20.59 	Pre-breeding line	--	Wu et al
721	PI426151	West Asia	Afghanistan	--	67.71 	33.94 	Pre-breeding line	--	Wu et al
722	PI432313	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
723	PI432331	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
724	PI470228	East Asia	AVRDC	Taiwan	120.17 	23.08 	Pre-breeding line	--	Wu et al
725	PI473610	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
726	PI473636	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
727	PI473671	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
728	PI473676	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
729	PI473694	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
730	PI473718	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
731	PI473727	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
732	PI473741	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
733	PI473745	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
734	PI473775	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
735	PI473790	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
736	PI473815	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
737	PI473835	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
738	PI473842	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
739	PI473849	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
740	PI473854	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
741	PI473859	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
742	PI473861	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
743	PI473871	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
744	PI473902	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
745	PI473907	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
746	PI473918	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
747	PI473923	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
748	PI473930	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
749	PI478619	West Asia	Iran	--	53.69 	32.43 	Pre-breeding line	--	Wu et al
750	PI502555	Central Asia	Uzbekistan	--	64.59 	41.38 	Pre-breeding line	--	Wu et al
